32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	<arg1> 32.7 % of all households </arg1> <rel> were made up </rel> <arg2> of individuals </arg2>	-0.022791996598243713
32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	<arg1> 15.7 % </arg1> <rel> had </rel> <arg2> someone living alone who was 65 years of age or older </arg2>	-0.009195358492434025
A CEN forms an important but small part of a Local Strategic Partnership .	<arg1> A CEN </arg1> <rel> forms </rel> <arg2> an important but small part of a Local Strategic Partnership </arg2>	-1.1761982932512183e-05
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	<arg1> he </arg1> <rel> became </rel> <arg2> the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 </arg2>	-0.002127307001501322
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	<arg1> he </arg1> <rel> became </rel> <arg2> the youngest mayor A Democrat </arg2>	-0.12322431057691574
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	<arg1> A cafeteria </arg1> <rel> is located </rel> <arg2> on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor </arg2>	-0.02121679298579693
A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .	<arg1> A casting director at the time </arg1> <rel> told </rel> <arg2> Scott that he had wished that he 'd met him a week before </arg2>	-0.0134311867877841
A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .	<arg1> he </arg1> <rel> was casting </rel> <arg2> for the `` G.I. Joe '' cartoon </arg2>	-0.0021595649886876345
A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .	<arg1> he </arg1> <rel> had wished </rel> <arg2> that he 'd met him a week before </arg2>	-0.024206554517149925
A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .	<arg1> he </arg1> <rel> 'd met </rel> <arg2> him a week before </arg2>	-0.031130677089095116
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	<arg1> A common name , logo , and programming schedule </arg1> <rel> followed </rel> <arg2> in 1982 </arg2>	-0.03568089008331299
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	<arg1> the establishment of the `` TV8 '' network between the three stations </arg1> <rel> changed </rel> <arg2> to the `` Southern Cross Network seven years later </arg2>	-0.04349898546934128
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	<arg1> A cooling center </arg1> <rel> is </rel> <arg2> a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave </arg2>	-0.009829218499362469
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	<arg1> a temporary air-conditioned public space </arg1> <rel> set up </rel> <arg2> by local authorities to deal with the health effects of a heat wave </arg2>	-0.016075076535344124
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	<arg1> none of which </arg1> <rel> is </rel> <arg2> the sphere of the same dimension </arg2>	-0.039024852216243744
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	<arg1> A manifold </arg1> <rel> is </rel> <arg2> prime </arg2>	-0.05733153969049454
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	<arg1> it </arg1> <rel> can not be presented </rel> <arg2> as a connected sum of more than one manifold </arg2>	-0.0035767327062785625
A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .	<arg1> A mid-March 2002 court order to stop printing for three months </arg1> <rel> was evaded </rel> <arg2> by printing under other titles , such as `` Not That Respublika </arg2>	-0.009614234790205956
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	<arg1> the few </arg1> <rel> held </rel> <arg2> in the UK </arg2>	-0.003370046615600586
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	<arg1> A motorcycle speedway long-track meeting </arg1> <rel> was staged </rel> <arg2> at Ammanford </arg2>	-0.029071036726236343
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	<arg1> A motorcycle speedway long-track meeting </arg1> <rel> is </rel> <arg2> one of the few held in the UK </arg2>	-0.025292083621025085
A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .	<arg1> turbomachinery </arg1> <rel> may use </rel> <arg2> one or more centrifugal compressors within the machine </arg2>	-0.018290553241968155
A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .	<arg1> A partial list of turbomachinery </arg1> <rel> are listed </rel> <arg2> here </arg2>	-0.017791271209716797
A short distance to the east , NC 111 diverges on Greenwood Boulevard .	<arg1> NC 111 </arg1> <rel> diverges </rel> <arg2> on Greenwood Boulevard A short distance to the east </arg2>	-0.007496786303818226
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	<arg1> A spectrum from a single FID </arg1> <rel> has </rel> <arg2> a low signal-to-noise ratio </arg2>	-0.0044676861725747585
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	<arg1> it </arg1> <rel> improves readily </rel> <arg2> with averaging of repeated acquisitions </arg2>	-0.07509806752204895
According to Hofmann , while still a teenage coin collector , he forged a rare mint mark on a dime and was told by an organization of coin collectors that it was genuine .	<arg1> he </arg1> <rel> forged </rel> <arg2> a rare mint mark on a dime while still a teenage coin collector </arg2>	-0.035660095512866974
According to Hofmann , while still a teenage coin collector , he forged a rare mint mark on a dime and was told by an organization of coin collectors that it was genuine .	<arg1> he </arg1> <rel> was told </rel> <arg2> by an organization of coin collectors that it was genuine </arg2>	-0.027834918349981308
According to Hofmann , while still a teenage coin collector , he forged a rare mint mark on a dime and was told by an organization of coin collectors that it was genuine .	<arg1> it </arg1> <rel> was </rel> <arg2> genuine </arg2>	-0.07366225868463516
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	<arg1> the Samaritan ethnonym </arg1> <rel> is not derived </rel> <arg2> from the region of Samaria </arg2>	-0.026940390467643738
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	<arg1> they </arg1> <rel> were </rel> <arg2> the `` Guardians '' of the true Israelite religion </arg2>	-0.005687191151082516
According to the 2010 census , the population of the town is 2,310 .	<arg1> the population of the town </arg1> <rel> is </rel> <arg2> 2,310 </arg2>	-4.365865606814623e-05
According to the South Koreans , many Koreans became victims of Japanese brutalities during the colonial period .	<arg1> many Koreans </arg1> <rel> became </rel> <arg2> victims of Japanese brutalities during the colonial period </arg2>	-0.006135839968919754
According to the United States Census Bureau , the town has a total area of , all of it land .	<arg1> the town </arg1> <rel> has </rel> <arg2> a total area of </arg2>	-0.045574042946100235
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	<arg1> Gonzalez </arg1> <rel> is accused </rel> <arg2> of defrauding the West Bronx Neighborhood Association Inc by using funds donated to the organization in order </arg2>	-0.027317985892295837
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	<arg1> Gonzalez </arg1> <rel> is accused </rel> <arg2> of defrauding the West Bronx Neighborhood Association Inc. by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses </arg2>	-0.09075501561164856
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	<arg1> Gonzalez </arg1> <rel> is accused </rel> <arg2> of defrauding the West Bronx Neighborhood Association Inc. by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses According to the indictment </arg2>	-0.08293431997299194
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	<arg1> Gonzalez </arg1> <rel> is accused </rel> <arg2> of defrauding the West Bronx Neighborhood Association Inc. </arg2>	-0.13171084225177765
Accordingly , the 1962 Roman Missal , the edition whose continued use as an extraordinary form of the Roman Rite is authorized by the motu proprio `` Summorum Pontificum '' , also has no mention of her .	<arg1> the 1962 Roman Missal </arg1> <rel> has </rel> <arg2> no mention of her </arg2>	-0.023671085014939308
Accordingly , the 1962 Roman Missal , the edition whose continued use as an extraordinary form of the Roman Rite is authorized by the motu proprio `` Summorum Pontificum '' , also has no mention of her .	<arg1> the edition </arg1> <rel> is authorized </rel> <arg2> by the motu proprio </arg2>	-0.04852742329239845
